zone,method,greaterThanKg,lessThanKg,rateAud
Domestic,Parcel Post,0,0.501,8.95
Domestic,Parcel Post (1kg),0.501,1.001,12.20
Domestic,Express Post,0,0.501,11.95
Domestic,Express Post (1kg),0.501,1.001,15.70
Zone 1: New Zealand,International Standard,0,0.251,15.20
Zone 1: New Zealand,International Standard (500g),0.251,0.501,18.20
Zone 1: New Zealand,International Standard (1kg),0.501,1.001,24.00
Zone 1: New Zealand,International Express,0,0.251,30.20
Zone 1: New Zealand,International Express (500g),0.251,0.501,33.20
Zone 1: New Zealand,International Express (1kg),0.501,1.001,39.00
Zone 2: China,International Standard,0,0.251,33.20
Zone 2: China,International Standard (500g),0.251,0.501,36.20
Zone 2: China,International Standard (1kg),0.501,1.001,47.90
Zone 2: China,International Express,0,0.251,33.20
Zone 2: China,International Express (500g),0.251,0.501,36.20
Zone 2: China,International Express (1kg),0.501,1.001,47.90
Zone 3: Rest of Asia,International Standard,0,0.251,34.00
Zone 3: Rest of Asia,International Standard (500g),0.251,0.501,37.00
Zone 3: Rest of Asia,International Standard (1kg),0.501,1.001,48.70
Zone 3: Rest of Asia,International Express,0,0.251,34.00
Zone 3: Rest of Asia,International Express (500g),0.251,0.501,37.00
Zone 3: Rest of Asia,International Express (1kg),0.501,1.001,48.70
Zone 4: USA & Canada,International Standard,0,0.251,36.00
Zone 4: USA & Canada,International Standard (500g),0.251,0.501,39.00
Zone 4: USA & Canada,International Standard (1kg),0.501,1.001,51.90
Zone 4: USA & Canada,International Express,0,0.251,36.00
Zone 4: USA & Canada,International Express (500g),0.251,0.501,39.00
Zone 4: USA & Canada,International Express (1kg),0.501,1.001,51.90
Zone 5: Pacific islands,International Standard,0,0.251,34.50
Zone 5: Pacific islands,International Standard (500g),0.251,0.501,37.50
Zone 5: Pacific islands,International Standard (1kg),0.501,1.001,49.20
Zone 5: Pacific islands,International Express,0,0.251,34.50
Zone 5: Pacific islands,International Express (500g),0.251,0.501,37.50
Zone 5: Pacific islands,International Express (1kg),0.501,1.001,49.20
Zone 6: UK & Ireland,International Standard,0,0.251,40.20
Zone 6: UK & Ireland,International Standard (500g),0.251,0.501,43.20
Zone 6: UK & Ireland,International Standard (1kg),0.501,1.001,56.10
Zone 6: UK & Ireland,International Express,0,0.251,40.20
Zone 6: UK & Ireland,International Express (500g),0.251,0.501,43.20
Zone 6: UK & Ireland,International Express (1kg),0.501,1.001,56.10
Zone 7: Major Europe,International Standard,0,0.251,41.30
Zone 7: Major Europe,International Standard (500g),0.251,0.501,44.30
Zone 7: Major Europe,International Standard (1kg),0.501,1.001,57.20
Zone 7: Major Europe,International Express,0,0.251,41.30
Zone 7: Major Europe,International Express (500g),0.251,0.501,44.30
Zone 7: Major Europe,International Express (1kg),0.501,1.001,57.20
Zone 8: Rest of World 1,International Standard,0,0.251,43.80
Zone 8: Rest of World 1,International Standard (500g),0.251,0.501,46.80
Zone 8: Rest of World 1,International Standard (1kg),0.501,1.001,63.35
Zone 8: Rest of World 1,International Express,0,0.251,43.80
Zone 8: Rest of World 1,International Express (500g),0.251,0.501,46.80
Zone 8: Rest of World 1,International Express (1kg),0.501,1.001,63.35
Zone 9: Rest of World 2,International Standard,0,0.251,45.15
Zone 9: Rest of World 2,International Standard (500g),0.251,0.501,48.15
Zone 9: Rest of World 2,International Standard (1kg),0.501,1.001,64.70
Zone 9: Rest of World 2,International Express,0,0.251,45.15
Zone 9: Rest of World 2,International Express (500g),0.251,0.501,48.15
Zone 9: Rest of World 2,International Express (1kg),0.501,1.001,64.70
